name,decimalLongitude,decimalLatitude
spp_ex,-70.173333,1.198333
spp_ex,-70.173333,1.198333
spp_ex,-70.173333,1.198333
spp_ex,-59.43794,3.38333
spp_ex,-59.466667,2.633333
spp_ex,-75.79941,2.62322
spp_ex,-75.7,1.545556
spp_ex,-59.22717,2.83333
spp_ex,-59.22717,2.83333
spp_ex,-59.22717,2.83333
spp_ex,-59.22717,2.83333
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.87489,2.47313
spp_ex,-59.29954,2.83333
spp_ex,-59.29954,2.83333
spp_ex,-59.29954,2.83333
spp_ex,-59.29954,2.83333
spp_ex,-59.29954,2.83333
spp_ex,-58.3,5.95634
spp_ex,-58.3,5.95634
spp_ex,-59.716667,2.35
spp_ex,-59.716667,2.35
spp_ex,-59.716667,2.35
spp_ex,-58.266667,2.266667
spp_ex,-58.433333,6.966667
spp_ex,-58.31027,6.01029
spp_ex,-59.483333,2.933333
spp_ex,-59.483333,2.933333
spp_ex,-59.483333,2.933333
spp_ex,-59.883333,2.466667
spp_ex,-59.883333,2.466667
spp_ex,-59.883333,2.466667
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-59.37192,2.83333
spp_ex,-98.88795281,21.95678386
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-74.73472,4.29675
spp_ex,-76.5225,3.437222
spp_ex,-76.5225,3.437222
spp_ex,-76.5225,3.437222
spp_ex,-76.5225,3.437222
